City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Mafinga,TZ,66.18,light rain,-7.25,35.0667,
205,General Roca,AR,72.0,clear sky,-39.0333,-67.5833,
208,Kaitangata,NZ,68.94,broken clouds,-46.2817,169.8464,
210,Mount Gambier,AU,71.51,scattered clouds,-37.8333,140.7667,
212,Nouakchott,MR,71.53,overcast clouds,18.0858,-15.9785,
213,Arraial Do Cabo,BR,75.52,moderate rain,-22.9661,-42.0278,
220,Ambilobe,MG,73.42,overcast clouds,-13.2,49.05,
221,Wamba,NG,66.85,overcast clouds,8.9333,8.6,
224,Yulara,AU,73.35,overcast clouds,-25.2406,130.9889,
225,Weligama,LK,74.64,scattered clouds,5.9667,80.4167,
226,Nabire,ID,81.14,overcast clouds,-3.3667,135.4833,
228,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,
229,Letlhakane,BW,70.48,overcast clouds,-21.4167,25.5833,
230,Aloleng,PH,79.84,few clouds,16.1307,119.7824,
231,Mackay,AU,89.69,scattered clouds,-21.15,149.2,
233,Pandan,PH,78.49,moderate rain,14.0453,124.1694,
238,Ca Mau,VN,80.1,clear sky,9.1769,105.15,
243,Broken Hill,AU,82.31,overcast clouds,-31.95,141.4333,
244,Dingle,PH,81.32,clear sky,10.9995,122.6711,
245,Phan Thiet,VN,78.39,broken clouds,10.9333,108.1,
248,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,
249,Bubaque,GW,77.94,overcast clouds,11.2833,-15.8333,
252,Tual,ID,83.88,light rain,-5.6667,132.75,
254,Sinnamary,GF,76.59,broken clouds,5.3833,-52.95,
257,Huarmey,PE,70.75,overcast clouds,-10.0681,-78.1522,
262,Kanniyakumari,IN,77.16,few clouds,8.0833,77.5667,
263,San Isidro,PE,72.01,scattered clouds,-12.1167,-77.05,
265,Bengkulu,ID,75.72,moderate rain,-3.8004,102.2655,
266,Barra Patuca,HN,73.49,overcast clouds,15.8,-84.2833,
268,Youkounkoun,GN,79.72,clear sky,12.5333,-13.1333,
276,Bucerias,MX,75.18,clear sky,20.75,-105.3333,
278,Boende,CD,76.86,overcast clouds,-0.2167,20.8667,
281,Saldanha,ZA,65.35,overcast clouds,-33.0117,17.9442,
283,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
284,Saint-Pierre,RE,74.88,scattered clouds,-21.3393,55.4781,
285,Puerto Baquerizo Moreno,EC,74.57,overcast clouds,-0.9,-89.6,
286,Ponta Do Sol,PT,65.12,clear sky,32.6667,-17.1,
289,Mareeba,AU,85.48,overcast clouds,-17.0,145.4333,
290,Sao Felix Do Xingu,BR,69.17,overcast clouds,-6.6447,-51.995,
291,Cabo San Lucas,MX,74.5,few clouds,22.8909,-109.9124,
295,Guerrero,MX,67.05,scattered clouds,17.6667,-100.0,
297,Oyotun,PE,75.88,overcast clouds,-6.8519,-79.3036,
298,Lafiagi,NG,73.08,broken clouds,8.8667,5.4167,
309,Madimba,TZ,75.31,light rain,-10.4,40.3333,
311,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,
315,Cidreira,BR,73.63,clear sky,-30.1811,-50.2056,
316,Bata,GQ,79.41,light rain,1.8639,9.7658,
318,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,
322,Bonthe,SL,76.05,clear sky,7.5264,-12.505,
332,Kavaratti,IN,81.16,clear sky,10.5669,72.642,
333,Santa Maria,BR,70.74,clear sky,-29.6842,-53.8069,
334,Tamboril,DO,70.57,thunderstorm,19.4854,-70.611,
335,Poum,NC,80.49,overcast clouds,-20.2333,164.0167,
336,Manicore,BR,72.77,overcast clouds,-5.8092,-61.3003,
338,Kirakira,SB,84.0,light rain,-10.4544,161.9205,
340,Adrar,MR,71.87,overcast clouds,20.5022,-10.0711,
341,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,
346,Taua,BR,73.67,scattered clouds,-5.9667,-40.3,
347,Samarai,PG,83.62,overcast clouds,-10.6167,150.6667,
348,Sao Joao Da Barra,BR,75.13,moderate rain,-21.6403,-41.0511,
350,Nisia Floresta,BR,79.61,clear sky,-6.0911,-35.2086,
351,Abakaliki,NG,74.73,overcast clouds,6.3163,8.1169,
353,Itacare,BR,82.29,clear sky,-14.2775,-38.9967,
354,Kieta,PG,85.95,overcast clouds,-6.2167,155.6333,
355,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,
357,Rio Grande,BR,72.95,clear sky,-32.035,-52.0986,
363,Santiago De Cao,PE,66.33,broken clouds,-7.9589,-79.2392,
366,Ugoofaaru,MV,82.15,overcast clouds,5.6667,73.0,
367,Beira,MZ,74.77,clear sky,-19.8436,34.8389,
369,Miandrivazo,MG,78.03,clear sky,-19.5167,45.4667,
377,Bodden Town,KY,69.93,broken clouds,19.2833,-81.25,
379,Taoudenni,ML,70.09,scattered clouds,22.6783,-3.9836,
381,Morondava,MG,79.38,clear sky,-20.2833,44.2833,
382,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,
385,Uchiza,PE,70.77,overcast clouds,-8.4592,-76.4633,
386,Lamu,KE,77.22,broken clouds,-2.2717,40.902,
388,Codrington,AU,81.41,clear sky,-38.2667,141.9667,
391,Isangel,VU,82.51,broken clouds,-19.55,169.2667,
395,Antofagasta,CL,65.48,broken clouds,-23.65,-70.4,
402,Port Keats,AU,84.0,overcast clouds,-14.25,129.55,
404,Sola,VU,78.24,overcast clouds,-13.8833,167.55,
408,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,
409,Dunedin,NZ,68.5,few clouds,-45.8742,170.5036,
410,Jacareacanga,BR,71.35,overcast clouds,-6.2222,-57.7528,
412,Aripuana,BR,71.58,light rain,-9.1667,-60.6333,
414,Burnie,AU,73.94,broken clouds,-41.0667,145.9167,
416,Te Anau,NZ,72.99,overcast clouds,-45.4167,167.7167,
418,Kalmunai,LK,76.01,scattered clouds,7.4167,81.8167,
421,Micheweni,TZ,79.38,overcast clouds,-4.9667,39.8333,
422,Acarau,BR,78.75,overcast clouds,-2.8856,-40.12,
431,Fare,PF,80.91,few clouds,-16.7,-151.0167,
438,Xai-Xai,MZ,73.15,broken clouds,-25.0519,33.6442,
439,Sembe,CG,70.02,overcast clouds,1.6481,14.5806,
443,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,
