City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Puerto Ayora,EC,-0.7393,-90.3518,73.54,84,100,5.7,overcast clouds
80,Fairbanks,US,64.8378,-147.7164,-15.02,73,0,0.0,clear sky
81,Severobaykalsk,RU,55.65,109.3167,-8.28,95,96,2.84,overcast clouds
82,Awjilah,LY,29.1081,21.2869,53.49,68,87,11.95,overcast clouds
83,Saskylakh,RU,71.9167,114.0833,-23.13,100,94,2.82,overcast clouds
84,Namibe,AO,-15.1961,12.1522,70.92,77,83,6.67,broken clouds
85,Piacabucu,BR,-10.4056,-36.4344,79.11,81,56,8.57,broken clouds
86,Souillac,MU,-20.5167,57.5167,79.18,94,75,8.05,light rain
87,Broome,US,42.2506,-75.833,12.0,78,42,3.0,scattered clouds
88,San Rafael,AR,-34.6177,-68.3301,77.65,25,0,13.67,clear sky
89,Rocha,UY,-34.4833,-54.3333,67.21,83,0,10.47,clear sky
90,Norman Wells,CA,65.282,-126.8329,-10.16,97,100,5.59,overcast clouds
91,Sao Filipe,CV,14.8961,-24.4956,71.44,71,100,12.28,overcast clouds
92,Mirnyy,RU,62.5353,113.9611,-22.77,67,97,4.0,overcast clouds
93,Mar Del Plata,AR,-38.0023,-57.5575,67.87,75,100,13.0,overcast clouds
94,Khatanga,RU,71.9667,102.5,-5.21,98,98,8.88,overcast clouds
95,Vredendal,ZA,-31.6683,18.5012,78.4,41,100,4.85,overcast clouds
96,Bereda,ES,43.2686,-7.5406,45.91,100,90,4.97,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,8.05,light rain
98,Menongue,AO,-14.6585,17.691,61.68,93,100,4.34,overcast clouds
99,Provideniya,RU,64.3833,-173.3,10.51,61,0,20.13,clear sky
100,La Ronge,CA,55.1001,-105.2842,8.42,98,94,3.31,overcast clouds
101,Abay,KZ,49.6311,72.8539,12.58,94,100,10.2,overcast clouds
102,Daru,PG,-9.0763,143.2092,78.89,83,100,5.59,overcast clouds
103,Antequera,ES,37.0194,-4.5612,53.46,28,50,1.88,scattered clouds
104,Cockburn Town,TC,21.4612,-71.1419,75.56,73,98,20.24,overcast clouds
105,Baykit,RU,61.67,96.37,-1.43,99,100,0.38,overcast clouds
106,Badulla,LK,6.9895,81.0557,67.91,96,79,2.84,broken clouds
107,Kenai,US,60.5544,-151.2583,24.89,92,0,0.0,clear sky
108,Kununurra,AU,-15.7667,128.7333,84.18,70,100,19.57,overcast clouds
109,Flin Flon,CA,54.7682,-101.865,9.05,96,95,5.75,overcast clouds
110,Gabriel Leyva Solano,MX,25.6667,-108.6417,69.62,31,9,11.45,clear sky
111,Bluff,NZ,-46.6,168.3333,72.81,84,92,5.37,overcast clouds
112,Roma,US,43.2128,-75.4557,8.89,73,40,0.0,scattered clouds
113,Vila,PT,42.0304,-8.1588,41.94,54,0,3.62,clear sky
114,Tasiilaq,GL,65.6145,-37.6368,-2.87,56,100,8.46,overcast clouds
115,Puri,IN,19.8,85.85,55.92,67,3,5.64,clear sky
